| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 2060 m12 = 220 | 0.00404807  pm 0.000348524 | 2.54675e-05 pm 9.46824e-06 | 1.96973 pm 0.117984 | 6.64227e-11 pm 4.14902e-11 | 3.45e-07 pm 3.73243e-07 | 3.50896e-06 pm 1.31777e-06 | 1.6107e-05 pm 1.03153e-05 | 2.1792e-07 pm 2.34478e-07 | 0.583 pm 0.120799 | 0.00425592 pm 0.00150068 | 
| tanbeta = 10, m0 = 2060 m12 = 240 | 0.00314816  pm 0.000277876 | 2.37688e-05 pm 8.90538e-06 | 1.30737 pm 0.0753332 | 6.56955e-11 pm 4.10471e-11 | 3.18e-07 pm 3.44099e-07 | 3.33927e-06 pm 1.25657e-06 | 1.4588e-05 pm 9.51913e-06 | 1.9844e-07 pm 2.16398e-07 | 0.323 pm 0.0711144 | 0.00322565 pm 0.00117779 | 
| tanbeta = 10, m0 = 2060 m12 = 260 | 0.00244753  pm 0.000210801 | 2.20654e-05 pm 8.2947e-06 | 0.898589 pm 0.0506418 | 6.49863e-11 pm 4.06433e-11 | 2.9e-07 pm 3.1324e-07 | 3.15305e-06 pm 1.19319e-06 | 1.317e-05 pm 8.67638e-06 | 1.8097e-07 pm 1.988e-07 | 0.184 pm 0.0428614 | 0.00244125 pm 0.000921092 | 
| tanbeta = 10, m0 = 2060 m12 = 280 | 0.00190622  pm 0.000163839 | 2.03749e-05 pm 7.67024e-06 | 0.633432 pm 0.0346399 | 6.41866e-11 pm 4.01729e-11 | 2.63e-07 pm 2.85084e-07 | 2.94372e-06 pm 1.12257e-06 | 1.1752e-05 pm 7.84481e-06 | 1.625e-07 pm 1.81509e-07 | 0.108 pm 0.0265963 | 0.00184988 pm 0.000721786 | 
| tanbeta = 10, m0 = 2060 m12 = 300 | 0.00148803  pm 0.00012778 | 1.87541e-05 pm 7.11002e-06 | 0.457378 pm 0.0247179 | 6.3448e-11 pm 3.97687e-11 | 2.37e-07 pm 2.56718e-07 | 2.72636e-06 pm 1.04905e-06 | 1.0436e-05 pm 7.06523e-06 | 1.4605e-07 pm 1.6447e-07 | 0.0644 pm 0.0167763 | 0.00140516 pm 0.000564351 | 
| tanbeta = 10, m0 = 2060 m12 = 320 | 0.00116239  pm 9.71104e-05 | 1.71897e-05 pm 6.56092e-06 | 0.334768 pm 0.0178738 | 6.25555e-11 pm 3.92198e-11 | 2.12e-07 pm 2.29546e-07 | 2.50498e-06 pm 9.71334e-07 | 9.2e-06 pm 6.35439e-06 | 1.2962e-07 pm 1.47913e-07 | 0.0392 pm 0.0107711 | 0.00107323 pm 0.000444798 | 
| tanbeta = 10, m0 = 2060 m12 = 340 | 0.000908506  pm 7.62021e-05 | 1.56871e-05 pm 6.02781e-06 | 0.249274 pm 0.0130008 | 6.16371e-11 pm 3.86358e-11 | 1.88e-07 pm 2.04193e-07 | 2.28165e-06 pm 8.85747e-07 | 8.066e-06 pm 5.67255e-06 | 1.1421e-07 pm 1.32597e-07 | 0.0240981 pm 0.00711511 | 0.000814227 pm 0.000345631 | 
| tanbeta = 10, m0 = 2060 m12 = 360 | 0.000710753  pm 5.78995e-05 | 1.42593e-05 pm 5.51574e-06 | 0.188443 pm 0.00976866 | 6.07349e-11 pm 3.81477e-11 | 1.65e-07 pm 1.80184e-07 | 2.05435e-06 pm 8.08414e-07 | 7.0525e-06 pm 5.0439e-06 | 1.0014e-07 pm 1.18229e-07 | 0.0150039 pm 0.00471427 | 0.000618836 pm 0.000269926 | 
| tanbeta = 10, m0 = 2060 m12 = 380 | 0.000556273  pm 4.38543e-05 | 1.29205e-05 pm 5.03541e-06 | 0.143482 pm 0.00737836 | 5.97683e-11 pm 3.75304e-11 | 1.44e-07 pm 1.57654e-07 | 1.8446e-06 pm 7.32426e-07 | 6.1003e-06 pm 4.44497e-06 | 8.708e-08 pm 1.0438e-07 | 0.00944805 pm 0.00319833 | 0.000470362 pm 0.00021137 | 
| tanbeta = 10, m0 = 2060 m12 = 400 | 0.000435806  pm 3.5035e-05 | 1.16623e-05 pm 4.57139e-06 | 0.110492 pm 0.00564639 | 5.88298e-11 pm 3.70323e-11 | 1.25e-07 pm 1.3772e-07 | 1.63901e-06 pm 6.56943e-07 | 5.2794e-06 pm 3.91912e-06 | 7.556e-08 pm 9.17658e-08 | 0.00605754 pm 0.00218398 | 0.000358898 pm 0.000165863 | 
| tanbeta = 10, m0 = 2060 m12 = 420 | 0.000341896  pm 2.6975e-05 | 1.04857e-05 pm 4.14188e-06 | 0.0858029 pm 0.00437561 | 5.77089e-11 pm 3.63096e-11 | 1.07e-07 pm 1.18961e-07 | 1.44173e-06 pm 5.80081e-07 | 4.5295e-06 pm 3.43328e-06 | 6.497e-08 pm 8.06551e-08 | 0.00387635 pm 0.00148994 | 0.000272359 pm 0.000129114 | 
| tanbeta = 10, m0 = 2060 m12 = 440 | 0.000268858  pm 2.13887e-05 | 9.40397e-06 pm 3.74187e-06 | 0.0669389 pm 0.00339568 | 5.6666e-11 pm 3.56831e-11 | 9.13e-08 pm 1.01565e-07 | 1.25739e-06 pm 5.17696e-07 | 3.8808e-06 pm 3.00408e-06 | 5.56e-08 pm 7.00844e-08 | 0.00252406 pm 0.00102752 | 0.000207151 pm 0.000101044 | 
| tanbeta = 10, m0 = 2060 m12 = 460 | 0.000211531  pm 1.70044e-05 | 8.39858e-06 pm 3.36504e-06 | 0.0527811 pm 0.00267465 | 5.56018e-11 pm 3.50497e-11 | 7.73e-08 pm 8.68896e-08 | 1.08909e-06 pm 4.51263e-07 | 3.3031e-06 pm 2.60465e-06 | 4.737e-08 pm 6.06786e-08 | 0.00164736 pm 0.000712549 | 0.000157135 pm 7.85817e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 480 | 0.00016633  pm 1.31566e-05 | 7.4836e-06 pm 3.02638e-06 | 0.0417896 pm 0.00210815 | 5.44408e-11 pm 3.43632e-11 | 6.49e-08 pm 7.33378e-08 | 9.36693e-07 pm 3.95252e-07 | 2.8064e-06 pm 2.26366e-06 | 4.006e-08 pm 5.22235e-08 | 0.00107854 pm 0.000493986 | 0.000118993 pm 6.13134e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 500 | 0.000130481  pm 1.08684e-05 | 6.64702e-06 pm 2.7127e-06 | 0.0333123 pm 0.00167948 | 5.33448e-11 pm 3.37172e-11 | 5.4e-08 pm 6.13914e-08 | 7.99314e-07 pm 3.40131e-07 | 2.3705e-06 pm 1.95521e-06 | 3.3676e-08 pm 4.47133e-08 | 0.000709755 pm 0.000342835 | 8.9548e-05 pm 4.74314e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 520 | 0.000102282  pm 8.83427e-06 | 5.88971e-06 pm 2.41933e-06 | 0.0266562 pm 0.00134604 | 5.21892e-11 pm 3.29954e-11 | 4.47e-08 pm 5.11543e-08 | 6.7664e-07 pm 2.91832e-07 | 1.9954e-06 pm 1.68244e-06 | 2.8116e-08 pm 3.81071e-08 | 0.000474034 pm 0.000241049 | 6.76168e-05 pm 3.66968e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 540 | 8.01963e-05  pm 6.99858e-06 | 5.204e-06 pm 2.15688e-06 | 0.0214807 pm 0.00108584 | 5.10194e-11 pm 3.23076e-11 | 3.66e-08 pm 4.22638e-08 | 5.67943e-07 pm 2.48342e-07 | 1.6511e-06 pm 1.41813e-06 | 2.3478e-08 pm 3.22958e-08 | 0.000313873 pm 0.000168024 | 5.08029e-05 pm 2.82957e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 560 | 6.2951e-05  pm 5.74811e-06 | 4.57775e-06 pm 1.9132e-06 | 0.0173574 pm 0.000878984 | 4.98334e-11 pm 3.15797e-11 | 2.98e-08 pm 3.46512e-08 | 4.74256e-07 pm 2.10399e-07 | 1.3975e-06 pm 1.23311e-06 | 1.9459e-08 pm 2.72246e-08 | 0.000210265 pm 0.000118082 | 3.80951e-05 pm 2.1734e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 580 | 4.93223e-05  pm 4.67011e-06 | 4.03177e-06 pm 1.7102e-06 | 0.0140698 pm 0.000712648 | 4.86144e-11 pm 3.0826e-11 | 2.4e-08 pm 2.81456e-08 | 3.92915e-07 pm 1.76657e-07 | 1.1743e-06 pm 1.05866e-06 | 1.5958e-08 pm 2.28521e-08 | 0.000142681 pm 8.37813e-05 | 2.87084e-05 pm 1.6737e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 600 | 3.87826e-05  pm 3.76037e-06 | 3.53102e-06 pm 1.50502e-06 | 0.0114667 pm 0.000583658 | 4.74281e-11 pm 3.0124e-11 | 1.93e-08 pm 2.26769e-08 | 3.23069e-07 pm 1.47731e-07 | 9.807e-07 pm 9.06163e-07 | 1.3072e-08 pm 1.90976e-08 | 9.57541e-05 pm 5.85303e-05 | 2.13369e-05 pm 1.27369e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 620 | 3.03869e-05  pm 3.03748e-06 | 3.08864e-06 pm 1.32797e-06 | 0.0093666 pm 0.0004787 | 4.61976e-11 pm 2.93808e-11 | 1.53e-08 pm 1.81738e-08 | 2.64074e-07 pm 1.22786e-07 | 8.1752e-07 pm 7.72934e-07 | 1.0701e-08 pm 1.58384e-08 | 5.32e-05 pm 4.97541e-05 | 1.48e-05 pm 1.06321e-05 | 
| tanbeta = 10, m0 = 2060 m12 = 640 | 2.38517e-05  pm 2.49087e-06 | 2.69476e-06 pm 1.16894e-06 | 0.00766467 pm 0.000390714 | 4.49717e-11 pm 2.86028e-11 | 1.2e-08 pm 1.44221e-08 | 2.13779e-07 pm 1.00872e-07 | 6.7871e-07 pm 6.55506e-07 | 8.641e-09 pm 1.3069e-08 | 3.57e-05 pm 3.4926e-05 | 1.09e-05 pm 8.03495e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 660 | 1.87089e-05  pm 2.01944e-06 | 2.34777e-06 pm 1.03014e-06 | 0.00628941 pm 0.00032274 | 4.37849e-11 pm 2.79118e-11 | 9.39e-09 pm 1.13042e-08 | 1.72039e-07 pm 8.26928e-08 | 5.612e-07 pm 5.54255e-07 | 6.972e-09 pm 1.07475e-08 | 2.4e-05 pm 2.45541e-05 | 8.05e-06 pm 6.06197e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 680 | 1.46818e-05  pm 1.65613e-06 | 2.03576e-06 pm 8.98937e-07 | 0.00518771 pm 0.000267859 | 4.20271e-11 pm 2.69637e-11 | 7.26e-09 pm 8.80571e-09 | 1.36991e-07 pm 6.6787e-08 | 4.5996e-07 pm 4.64587e-07 | 5.582e-09 pm 8.77653e-09 | 1.61e-05 pm 1.72318e-05 | 5.91e-06 pm 4.5569e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 700 | 1.1515e-05  pm 1.35348e-06 | 1.76786e-06 pm 7.88174e-07 | 0.00427799 pm 0.000219679 | 4.07787e-11 pm 2.6168e-11 | 5.57e-09 pm 6.81016e-09 | 1.0848e-07 pm 5.39375e-08 | 3.7595e-07 pm 3.87985e-07 | 4.459e-09 pm 7.14039e-09 | 1.08e-05 pm 1.20758e-05 | 4.32e-06 pm 3.40619e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 720 | 9.04798e-06  pm 1.10884e-06 | 1.53349e-06 pm 6.89732e-07 | 0.00354059 pm 0.000183358 | 3.95978e-11 pm 2.54321e-11 | 4.23e-09 pm 5.19804e-09 | 8.54462e-08 pm 4.31132e-08 | 3.0713e-07 pm 3.24791e-07 | 3.5324e-09 pm 5.77279e-09 | 7.27e-06 pm 8.45387e-06 | 3.15e-06 pm 2.53347e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 740 | 7.10108e-06  pm 9.11026e-07 | 1.32752e-06 pm 6.02743e-07 | 0.00293596 pm 0.000153049 | 3.79167e-11 pm 2.45653e-11 | 3.18e-09 pm 3.93494e-09 | 6.67143e-08 pm 3.44143e-08 | 2.5046e-07 pm 2.70624e-07 | 2.7913e-09 pm 4.6461e-09 | 4.88e-06 pm 5.91334e-06 | 2.28e-06 pm 1.87236e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 760 | 5.57065e-06  pm 7.46767e-07 | 1.14582e-06 pm 5.24161e-07 | 0.00243456 pm 0.00012628 | 3.56416e-11 pm 2.27693e-11 | 2.37e-09 pm 2.94432e-09 | 5.15404e-08 pm 2.71086e-08 | 2.0393e-07 pm 2.25177e-07 | 2.1843e-09 pm 3.71205e-09 | 3.26e-06 pm 4.11335e-06 | 1.64e-06 pm 1.37165e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 780 | 4.36479e-06  pm 6.14338e-07 | 9.8788e-07 pm 4.56321e-07 | 0.00202795 pm 0.000106491 | 3.44917e-11 pm 2.20451e-11 | 1.75e-09 pm 2.18168e-09 | 3.96018e-08 pm 2.12737e-08 | 1.655e-07 pm 1.87227e-07 | 1.7012e-09 pm 2.95094e-09 | 2.18e-06 pm 2.85932e-06 | 1.17e-06 pm 1.00393e-06 | 
| tanbeta = 10, m0 = 2060 m12 = 800 | 3.41968e-06  pm 5.11821e-07 | 8.50532e-07 pm 3.9597e-07 | 0.00169041 pm 8.90554e-05 | 3.23133e-11 pm 2.03809e-11 | 1.28e-09 pm 1.5981e-09 | 3.01457e-08 pm 1.6527e-08 | 1.3416e-07 pm 1.55166e-07 | 1.321e-09 pm 2.33564e-09 | 1.46e-06 pm 1.98526e-06 | 8.35e-07 pm 7.3083e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 820 | 2.68538e-06  pm 4.20024e-07 | 7.30727e-07 pm 3.4307e-07 | 0.00141214 pm 7.46383e-05 | 3.13438e-11 pm 1.97899e-11 | 9.22e-10 pm 1.15749e-09 | 2.27784e-08 pm 1.27261e-08 | 1.08894e-07 pm 1.28125e-07 | 1.018e-09 pm 1.83286e-09 | 9.69e-07 pm 1.36895e-06 | 5.91e-07 pm 5.28354e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 840 | 2.10691e-06  pm 3.4731e-07 | 6.25675e-07 pm 2.96347e-07 | 0.00118173 pm 6.28119e-05 | 3.02859e-11 pm 1.91221e-11 | 6.59e-10 pm 8.25897e-10 | 1.70499e-08 pm 9.69195e-09 | 8.7684e-08 pm 1.05781e-07 | 7.809e-10 pm 1.4327e-09 | 6.42e-07 pm 9.43662e-07 | 4.15e-07 pm 3.79121e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 860 | 1.65079e-06  pm 2.88641e-07 | 5.36037e-07 pm 2.55472e-07 | 0.000988742 pm 5.2856e-05 | 2.92389e-11 pm 1.84644e-11 | 4.66e-10 pm 5.86275e-10 | 1.26e-08 pm 7.39719e-09 | 7.062e-08 pm 8.69854e-08 | 5.82e-10 pm 1.08145e-09 | 4.24e-07 pm 6.45318e-07 | 2.9e-07 pm 2.69919e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 880 | 1.29533e-06  pm 2.37577e-07 | 4.58129e-07 pm 2.20776e-07 | 0.000829491 pm 4.43703e-05 | 2.82482e-11 pm 1.78682e-11 | 3.26e-10 pm 4.10724e-10 | 9.24e-09 pm 5.63003e-09 | 5.6692e-08 pm 7.15307e-08 | 4.4e-10 pm 8.34644e-10 | 2.79e-07 pm 4.38899e-07 | 2.01e-07 pm 1.90535e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 900 | 1.0155e-06  pm 1.96941e-07 | 3.91031e-07 pm 1.89406e-07 | 0.00069738 pm 3.77161e-05 | 2.72455e-11 pm 1.72268e-11 | 2.25e-10 pm 2.81399e-10 | 6.69e-09 pm 4.23431e-09 | 4.5394e-08 pm 5.86106e-08 | 3.3e-10 pm 6.37491e-10 | 1.82e-07 pm 2.96642e-07 | 1.38e-07 pm 1.33627e-07 | 
| tanbeta = 10, m0 = 2060 m12 = 920 | 7.96013e-07  pm 1.61915e-07 | 3.33581e-07 pm 1.63327e-07 | 0.000586474 pm 3.16762e-05 | 2.62945e-11 pm 1.66554e-11 | 1.54e-10 pm 1.92234e-10 | 4.79e-09 pm 3.16366e-09 | 3.6319e-08 pm 4.78922e-08 | 2.46e-10 pm 4.86481e-10 | 1.18e-07 pm 1.99234e-07 | 9.39e-08 pm 9.31955e-08 | 
| tanbeta = 10, m0 = 2060 m12 = 940 | 6.24626e-07  pm 1.32324e-07 | 2.84447e-07 pm 1.40441e-07 | 0.000493685 pm 2.64087e-05 | 2.53474e-11 pm 1.60601e-11 | 1.04e-10 pm 1.28698e-10 | 3.39e-09 pm 2.33543e-09 | 2.8961e-08 pm 3.90949e-08 | 1.83e-10 pm 3.67219e-10 | 7.64e-08 pm 1.33106e-07 | 6.33e-08 pm 6.38223e-08 | 
| tanbeta = 10, m0 = 2060 m12 = 960 | 4.89105e-07  pm 1.08959e-07 | 2.41337e-07 pm 1.19911e-07 | 0.000416439 pm 2.24715e-05 | 2.44095e-11 pm 1.54743e-11 | 6.92e-11 pm 8.48668e-11 | 2.37e-09 pm 1.70983e-09 | 2.3018e-08 pm 3.1805e-08 | 1.34e-10 pm 2.74858e-10 | 4.89e-08 pm 8.79853e-08 | 4.23e-08 pm 4.35029e-08 | 
| tanbeta = 10, m0 = 2060 m12 = 980 | 3.84156e-07  pm 8.85037e-08 | 2.05079e-07 pm 1.02953e-07 | 0.000351008 pm 1.85544e-05 | 2.34911e-11 pm 1.49016e-11 | 4.55e-11 pm 5.51099e-11 | 1.64e-09 pm 1.23631e-09 | 1.82859e-08 pm 2.58055e-08 | 9.78e-11 pm 2.04387e-10 | 3.1e-08 pm 5.74556e-08 | 2.8e-08 pm 2.93151e-08 | 
| tanbeta = 10, m0 = 2060 m12 = 1000 | 3.01674e-07  pm 7.18452e-08 | 1.73759e-07 pm 8.78454e-08 | 0.000296948 pm 1.55592e-05 | 2.26081e-11 pm 1.43489e-11 | 2.95e-11 pm 3.50621e-11 | 1.12e-09 pm 8.85983e-10 | 1.44618e-08 pm 2.08588e-08 | 7.06e-11 pm 1.50424e-10 | 1.95e-08 pm 3.7374e-08 | 1.83e-08 pm 1.94985e-08 | 
| tanbeta = 10, m0 = 2080 m12 = 140 | 0.0111009  pm 0.000896106 | 2.91017e-05 pm 1.07656e-05 | 25.5052 pm 2.07362 | 5.52455e-11 pm 3.49995e-11 | 3.78e-07 pm 4.2212e-07 | 3.24735e-06 pm 1.21511e-06 | 1.9641e-05 pm 1.22395e-05 | 2.4834e-07 pm 2.61045e-07 | 9.33668 pm 1.53985 | 0.0126299 pm 0.0040263 | 
| tanbeta = 10, m0 = 2080 m12 = 160 | 0.00852457  pm 0.000735292 | 2.77103e-05 pm 1.02576e-05 | 10.3384 pm 0.739205 | 5.47374e-11 pm 3.47128e-11 | 3.57e-07 pm 3.96886e-07 | 3.19209e-06 pm 1.19725e-06 | 1.8325e-05 pm 1.16012e-05 | 2.3296e-07 pm 2.48549e-07 | 4.28 pm 0.738119 | 0.00934835 pm 0.00304258 | 
| tanbeta = 10, m0 = 2080 m12 = 180 | 0.0065713  pm 0.000557538 | 2.62563e-05 pm 9.75929e-06 | 5.39659 pm 0.35647 | 5.42076e-11 pm 3.43658e-11 | 3.35e-07 pm 3.70796e-07 | 3.1059e-06 pm 1.1664e-06 | 1.7211e-05 pm 1.0935e-05 | 2.1963e-07 pm 2.35438e-07 | 2.1 pm 0.385436 | 0.00696445 pm 0.00233799 | 
| tanbeta = 10, m0 = 2080 m12 = 200 | 0.00507235  pm 0.00043579 | 2.47435e-05 pm 9.25551e-06 | 3.16105 pm 0.196505 | 5.37022e-11 pm 3.40548e-11 | 3.13e-07 pm 3.45096e-07 | 3.0078e-06 pm 1.13923e-06 | 1.5794e-05 pm 1.01065e-05 | 2.0324e-07 pm 2.2087e-07 | 1.08 pm 0.210866 | 0.00522973 pm 0.00180299 | 
| tanbeta = 10, m0 = 2080 m12 = 220 | 0.00392492  pm 0.000330395 | 2.32077e-05 pm 8.71816e-06 | 1.98921 pm 0.119311 | 5.31885e-11 pm 3.37424e-11 | 2.9e-07 pm 3.18832e-07 | 2.88687e-06 pm 1.09838e-06 | 1.4579e-05 pm 9.43212e-06 | 1.8787e-07 pm 2.04197e-07 | 0.582 pm 0.120779 | 0.00394266 pm 0.00140019 | 
| tanbeta = 10, m0 = 2080 m12 = 240 | 0.00304923  pm 0.000271292 | 2.16479e-05 pm 8.1659e-06 | 1.31392 pm 0.0761803 | 5.26051e-11 pm 3.3402e-11 | 2.67e-07 pm 2.93101e-07 | 2.74859e-06 pm 1.04764e-06 | 1.3163e-05 pm 8.67026e-06 | 1.7247e-07 pm 1.90208e-07 | 0.322 pm 0.0705812 | 0.00298147 pm 0.0010958 | 
| tanbeta = 10, m0 = 2080 m12 = 260 | 0.00237235  pm 0.000203812 | 2.01063e-05 pm 7.59139e-06 | 0.902847 pm 0.0508658 | 5.20274e-11 pm 3.3057e-11 | 2.44e-07 pm 2.67434e-07 | 2.59074e-06 pm 9.95654e-07 | 1.1847e-05 pm 7.92968e-06 | 1.5607e-07 pm 1.74691e-07 | 0.184 pm 0.0427364 | 0.00226178 pm 0.000861201 | 
| tanbeta = 10, m0 = 2080 m12 = 280 | 0.00185169  pm 0.000158922 | 1.85999e-05 pm 7.067e-06 | 0.636402 pm 0.0350271 | 5.14363e-11 pm 3.27096e-11 | 2.21e-07 pm 2.42216e-07 | 2.42503e-06 pm 9.33917e-07 | 1.0632e-05 pm 7.19016e-06 | 1.4069e-07 pm 1.5937e-07 | 0.108 pm 0.0265486 | 0.00171853 pm 0.000675487 | 
| tanbeta = 10, m0 = 2080 m12 = 300 | 0.00144412  pm 0.000122945 | 1.71255e-05 pm 6.54779e-06 | 0.458812 pm 0.0245451 | 5.07742e-11 pm 3.22943e-11 | 1.99e-07 pm 2.18184e-07 | 2.24241e-06 pm 8.7276e-07 | 9.458e-06 pm 6.50186e-06 | 1.2633e-07 pm 1.44538e-07 | 0.0643 pm 0.0166987 | 0.00130096 pm 0.00052746 | 
| tanbeta = 10, m0 = 2080 m12 = 320 | 0.00112956  pm 9.52834e-05 | 1.56972e-05 pm 6.02969e-06 | 0.337267 pm 0.0179521 | 5.01115e-11 pm 3.19207e-11 | 1.77e-07 pm 1.95118e-07 | 2.06393e-06 pm 8.08508e-07 | 8.344e-06 pm 5.8269e-06 | 1.1198e-07 pm 1.3036e-07 | 0.0390978 pm 0.0107332 | 0.000990307 pm 0.000412421 | 
| tanbeta = 10, m0 = 2080 m12 = 340 | 0.000883961  pm 7.43144e-05 | 1.43361e-05 pm 5.53486e-06 | 0.251182 pm 0.0132935 | 4.93828e-11 pm 3.14671e-11 | 1.57e-07 pm 1.73431e-07 | 1.88081e-06 pm 7.4644e-07 | 7.3118e-06 pm 5.21455e-06 | 9.884e-08 pm 1.16578e-07 | 0.0240365 pm 0.00705013 | 0.00075432 pm 0.000322993 | 
| tanbeta = 10, m0 = 2080 m12 = 360 | 0.00069157  pm 5.59194e-05 | 1.30408e-05 pm 5.07587e-06 | 0.188891 pm 0.00979488 | 4.86153e-11 pm 3.09848e-11 | 1.38e-07 pm 1.52712e-07 | 1.69554e-06 pm 6.76438e-07 | 6.3903e-06 pm 4.61934e-06 | 8.673e-08 pm 1.0384e-07 | 0.0149645 pm 0.00475211 | 0.000574628 pm 0.000253054 | 
| tanbeta = 10, m0 = 2080 m12 = 380 | 0.000541409  pm 4.29433e-05 | 1.18288e-05 pm 4.64017e-06 | 0.143993 pm 0.0073902 | 4.7858e-11 pm 3.0531e-11 | 1.2e-07 pm 1.33946e-07 | 1.52328e-06 pm 6.15959e-07 | 5.5498e-06 pm 4.09008e-06 | 7.554e-08 pm 9.20425e-08 | 0.00944139 pm 0.00318793 | 0.000437769 pm 0.000198273 | 
| tanbeta = 10, m0 = 2080 m12 = 400 | 0.000423951  pm 3.3842e-05 | 1.06896e-05 pm 4.21653e-06 | 0.110834 pm 0.00565105 | 4.70391e-11 pm 3.00212e-11 | 1.04e-07 pm 1.16706e-07 | 1.35384e-06 pm 5.50756e-07 | 4.7903e-06 pm 3.60195e-06 | 6.547e-08 pm 8.11636e-08 | 0.00601956 pm 0.0021682 | 0.000332303 pm 0.000154495 | 
| tanbeta = 10, m0 = 2080 m12 = 420 | 0.000333542  pm 2.60879e-05 | 9.60824e-06 pm 3.8204e-06 | 0.0860718 pm 0.00437577 | 4.62342e-11 pm 2.95376e-11 | 8.96e-08 pm 1.00623e-07 | 1.1926e-06 pm 4.90995e-07 | 4.1319e-06 pm 3.16289e-06 | 5.654e-08 pm 7.11038e-08 | 0.00389069 pm 0.00148682 | 0.000253653 pm 0.000121417 | 
| tanbeta = 10, m0 = 2080 m12 = 440 | 0.000262272  pm 2.10431e-05 | 8.63688e-06 pm 3.45515e-06 | 0.0672778 pm 0.00339982 | 4.53985e-11 pm 2.9047e-11 | 7.63e-08 pm 8.5977e-08 | 1.04308e-06 pm 4.34317e-07 | 3.5343e-06 pm 2.75892e-06 | 4.832e-08 pm 6.17559e-08 | 0.00250291 pm 0.00102107 | 0.000191607 pm 9.39625e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 460 | 0.000206183  pm 1.65005e-05 | 7.7118e-06 pm 3.11699e-06 | 0.0529821 pm 0.00268467 | 4.4543e-11 pm 2.85233e-11 | 6.46e-08 pm 7.31344e-08 | 9.01519e-07 pm 3.78739e-07 | 3.0176e-06 pm 2.41113e-06 | 4.123e-08 pm 5.35526e-08 | 0.00162904 pm 0.000702129 | 0.00014578 pm 7.38088e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 480 | 0.000162278  pm 1.29251e-05 | 6.87512e-06 pm 2.79638e-06 | 0.0418774 pm 0.00210296 | 4.36381e-11 pm 2.79875e-11 | 5.42e-08 pm 6.1921e-08 | 7.75351e-07 pm 3.30027e-07 | 2.5618e-06 pm 2.09045e-06 | 3.4953e-08 pm 4.61152e-08 | 0.00106926 pm 0.000488477 | 0.00010979 pm 5.69783e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 500 | 0.000127225  pm 1.05318e-05 | 6.11194e-06 pm 2.50452e-06 | 0.0333961 pm 0.00167897 | 4.27352e-11 pm 2.74197e-11 | 4.51e-08 pm 5.18076e-08 | 6.61841e-07 pm 2.85154e-07 | 2.1667e-06 pm 1.80802e-06 | 2.9402e-08 pm 3.94561e-08 | 0.000711843 pm 0.000342934 | 8.35171e-05 pm 4.45096e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 520 | 9.99394e-05  pm 8.54316e-06 | 5.41959e-06 pm 2.24202e-06 | 0.0268271 pm 0.00135655 | 4.12899e-11 pm 2.66754e-11 | 3.72e-08 pm 4.29835e-08 | 5.60597e-07 pm 2.4481e-07 | 1.8323e-06 pm 1.55844e-06 | 2.4671e-08 pm 3.36852e-08 | 0.000470349 pm 0.000238926 | 6.27269e-05 pm 3.43204e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 540 | 7.83267e-05  pm 6.84331e-06 | 4.78666e-06 pm 1.99555e-06 | 0.0215429 pm 0.00108896 | 4.03179e-11 pm 2.60599e-11 | 3.05e-08 pm 3.55862e-08 | 4.70779e-07 pm 2.08719e-07 | 1.4885e-06 pm 1.2954e-06 | 2.0457e-08 pm 2.85359e-08 | 0.000314882 pm 0.000168148 | 4.73561e-05 pm 2.65261e-05 | 
| tanbeta = 10, m0 = 2080 m12 = 560 | 6.15198e-05  pm 5.53577e-06 | 4.22111e-06 pm 1.77731e-06 | 0.0174118 pm 0.00088113 | 3.93729e-11 pm 2.54573e-11 | 2.48e-08 pm 2.90882e-08 | 3.93311e-07 pm 1.76632e-07 | 1.2753e-06 pm 1.13982e-06 | 1.6959e-08 pm 2.41026e-08 | 0.000211341 pm 0.000118304 | 3.54597e-05 pm 2.03401e-05 | 
