| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 100 m12 = 520 | 0.00080661  pm 5.54544e-05 | 0.00271447 pm 0.000752182 | 0.0181787 pm 0.000928128 | 0.00815684 pm 0.000520713 | 0.00339542 pm 0.000853162 | 0.0195052 pm 0.00261552 | 0.0009104 pm 0.000377866 | 0.000252 pm 0.000126793 | 0.000905727 pm 0.000471046 | 0.0112437 pm 0.00282327 | 
| tanbeta = 10, m0 = 120 m12 = 100 | 4.56279  pm 0.289696 | 8.29721 pm 1.38684 | 191.1 pm 20.0184 | 0.446658 pm 0.0208139 | 58.4023 pm 9.23993 | 50.4193 pm 5.98684 | 14.5129 pm 2.65285 | 6.08 pm 1.05278 | 95.164 pm 13.1623 | 228.724 pm 25.5195 | 
| tanbeta = 10, m0 = 120 m12 = 120 | 2.26825  pm 0.143304 | 4.41323 pm 0.770599 | 49.3437 pm 4.56575 | 0.36123 pm 0.0172855 | 27.504 pm 4.23266 | 26.9765 pm 2.98925 | 7.66362 pm 1.42162 | 2.8 pm 0.51567 | 37.1177 pm 5.41599 | 103.666 pm 10.7484 | 
| tanbeta = 10, m0 = 120 m12 = 140 | 1.21363  pm 0.0781697 | 2.46192 pm 0.444617 | 17.0301 pm 1.38766 | 0.28927 pm 0.0141861 | 13.7563 pm 2.06993 | 15.5148 pm 1.64135 | 4.01545 pm 0.754049 | 1.364 pm 0.267459 | 15.7 pm 2.3152 | 50.8036 pm 5.21383 | 
| tanbeta = 10, m0 = 120 m12 = 160 | 0.687807  pm 0.0460431 | 1.4361 pm 0.267914 | 7.76718 pm 0.580146 | 0.230166 pm 0.0115133 | 7.46875 pm 1.1422 | 9.40583 pm 0.961583 | 2.12987 pm 0.409635 | 0.702 pm 0.145672 | 7.23 pm 1.16246 | 26.3523 pm 2.67072 | 
| tanbeta = 10, m0 = 120 m12 = 180 | 0.407306  pm 0.028542 | 0.87072 pm 0.165768 | 4.11093 pm 0.288783 | 0.183249 pm 0.0095124 | 4.15205 pm 0.625741 | 5.88139 pm 0.589224 | 1.16277 pm 0.224109 | 0.378 pm 0.0840124 | 3.56 pm 0.621849 | 14.2961 pm 1.45638 | 
| tanbeta = 10, m0 = 120 m12 = 200 | 0.250061  pm 0.0178811 | 0.544551 pm 0.105889 | 2.38519 pm 0.158038 | 0.145927 pm 0.0076735 | 2.406 pm 0.363738 | 3.79 pm 0.373692 | 0.653157 pm 0.128467 | 0.2108 pm 0.0496411 | 1.85 pm 0.34964 | 8.12976 pm 0.808415 | 
| tanbeta = 10, m0 = 120 m12 = 220 | 0.157848  pm 0.0116144 | 0.350973 pm 0.0696277 | 1.47526 pm 0.0932842 | 0.116743 pm 0.00622779 | 1.4289 pm 0.217752 | 2.5 pm 0.248256 | 0.3797 pm 0.078235 | 0.1222 pm 0.0303943 | 0.992 pm 0.202458 | 4.77 pm 0.469389 | 
| tanbeta = 10, m0 = 120 m12 = 240 | 0.102154  pm 0.00772174 | 0.231316 pm 0.0469712 | 0.95714 pm 0.0583827 | 0.0937202 pm 0.00508063 | 0.868945 pm 0.131645 | 1.69 pm 0.167861 | 0.2273 pm 0.0492097 | 0.0727 pm 0.0190488 | 0.553 pm 0.121125 | 2.89 pm 0.299133 | 
| tanbeta = 10, m0 = 120 m12 = 260 | 0.0674401  pm 0.00517028 | 0.155666 pm 0.032457 | 0.644841 pm 0.038231 | 0.075659 pm 0.0041551 | 0.542401 pm 0.0825488 | 1.16314 pm 0.118571 | 0.1399 pm 0.0317195 | 0.0443 pm 0.0122867 | 0.317 pm 0.0742542 | 1.79 pm 0.19657 | 
| tanbeta = 10, m0 = 120 m12 = 280 | 0.0452323  pm 0.00345842 | 0.106575 pm 0.0226964 | 0.446966 pm 0.0261215 | 0.0613314 pm 0.0034376 | 0.342031 pm 0.0514746 | 0.807728 pm 0.0839412 | 0.0875 pm 0.0208065 | 0.0276 pm 0.00804123 | 0.186 pm 0.0465419 | 1.13 pm 0.130246 | 
| tanbeta = 10, m0 = 120 m12 = 300 | 0.030849  pm 0.00240971 | 0.0742161 pm 0.0161718 | 0.31792 pm 0.0177566 | 0.0500581 pm 0.00288819 | 0.22 pm 0.0330521 | 0.569617 pm 0.060404 | 0.05589 pm 0.0139084 | 0.01743 pm 0.00536084 | 0.112 pm 0.0298518 | 0.729 pm 0.0890864 | 
